2016-03-19 01:36:31,602 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:31,606 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:31,640 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:36:31,644 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:36:31,648 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:31,652 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:32,304 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:36:32,307 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\main\resources
2016-03-19 01:36:32,309 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:36:32,313 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\test\resources
2016-03-19 01:36:34,195 [Worker-52] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
